,transfer_n,replicate,strategy,phenotype,fraction,contaminated,exclude,infected_by_strains,infected_by_wells,infection_to_well,infection_to_well_id,pheno_num,pheno_str,plate,received_transfer_strain,rep,count,rwell,tip,transfer_from_well_id,transfer_to_well,transfer_to_well_id,treatment_with,turnover_id,turnover_strain,turnover_strain_real,well
817,10,2.0,Mixing,UI,86.45833333333334,83,83,20,20,26,20,83,83,83,67,83,83,83,83,67,67,62,83,16,16,16,83
818,10,2.0,Mixing,WT,3.125,3,3,0,0,1,0,3,3,3,1,3,3,3,3,1,1,1,3,2,2,2,3
819,10,2.0,Mono A,A_r,25.0,24,24,12,12,7,7,24,24,24,21,24,24,24,24,21,21,18,24,3,3,3,24
820,10,2.0,Mono A,UI,73.95833333333334,71,71,12,12,22,16,71,71,71,56,71,71,71,71,56,56,51,71,15,15,15,71
821,10,2.0,Mono A,WT,1.0416666666666665,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
822,10,2.0,Mono B,B_r,23.958333333333336,23,23,6,6,7,4,23,23,23,22,23,23,23,23,22,22,15,23,1,1,1,23
823,10,2.0,Mono B,UI,71.875,69,69,18,18,22,18,69,69,69,56,69,69,69,69,56,56,52,69,13,13,13,69
824,10,2.0,Mono B,WT,4.166666666666666,4,4,0,0,1,1,4,4,4,0,4,4,4,4,0,0,3,4,4,4,4,4
825,10,2.0,No treatment,AB_r,4.166666666666666,4,4,2,2,1,1,4,4,4,4,4,4,4,4,4,4,2,4,0,0,0,4
826,10,2.0,No treatment,A_r,28.125,27,27,14,14,8,8,27,27,27,24,27,27,27,27,24,24,22,27,3,3,3,27
827,10,2.0,No treatment,B_r,15.625,15,15,3,3,4,1,15,15,15,14,15,15,15,15,14,14,10,15,1,1,1,15
828,10,2.0,No treatment,Fishy,1.0416666666666665,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
829,10,2.0,No treatment,UI,8.333333333333332,8,8,0,0,2,1,8,8,8,4,8,8,8,8,4,4,6,8,4,4,4,8
830,10,2.0,No treatment,WT,42.70833333333333,41,41,4,4,15,12,41,41,41,31,41,41,41,41,31,31,29,41,10,10,10,41
831,10,3.0,Combo,A_r,1.0416666666666665,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1
832,10,3.0,Combo,UI,93.75,90,90,22,22,30,21,90,90,90,78,90,90,90,90,78,78,67,90,12,12,12,90
833,10,3.0,Combo,WT,5.208333333333334,5,5,1,1,0,2,5,5,5,0,5,5,5,5,0,0,3,5,5,5,5,5
834,10,3.0,Cycling,A_r,2.083333333333333,2,2,1,1,0,0,2,2,2,1,2,2,2,2,1,1,0,2,1,1,1,2
835,10,3.0,Cycling,UI,97.91666666666666,94,94,23,23,30,23,94,94,94,77,94,94,94,94,77,77,70,94,17,17,17,94
836,10,3.0,Mixing,A_r,5.208333333333334,5,5,2,2,1,1,5,5,5,4,5,5,5,5,4,4,3,5,1,1,1,5
837,10,3.0,Mixing,B_r,6.25,6,6,3,3,2,2,6,6,6,6,6,6,6,6,6,6,4,6,0,0,0,6
838,10,3.0,Mixing,UI,84.375,81,81,18,18,27,19,81,81,81,68,81,81,81,81,68,68,62,81,13,13,13,81
839,10,3.0,Mixing,WT,4.166666666666666,4,4,1,1,0,1,4,4,4,0,4,4,4,4,0,0,1,4,4,4,4,4
840,10,3.0,Mono A,A_r,32.29166666666667,31,31,16,16,9,7,31,31,31,28,31,31,31,31,28,28,24,31,3,3,3,31
841,10,3.0,Mono A,UI,66.66666666666666,64,64,8,8,21,16,64,64,64,50,64,64,64,64,50,50,46,64,14,14,14,64
842,10,3.0,Mono A,WT,1.0416666666666665,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1
843,10,3.0,Mono B,B_r,23.958333333333336,23,23,7,7,7,4,23,23,23,21,23,23,23,23,21,21,14,23,2,2,2,23
844,10,3.0,Mono B,UI,70.83333333333334,68,68,16,16,22,18,68,68,68,57,68,68,68,68,57,57,54,68,11,11,11,68
845,10,3.0,Mono B,WT,5.208333333333334,5,5,1,1,1,1,5,5,5,0,5,5,5,5,0,0,2,5,5,5,5,5
846,10,3.0,No treatment,A&B,1.0416666666666665,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
847,10,3.0,No treatment,AB_r,5.208333333333334,5,5,2,2,1,1,5,5,5,5,5,5,5,5,5,5,3,5,0,0,0,5
848,10,3.0,No treatment,A_r,26.041666666666668,25,25,13,13,8,6,25,25,25,22,25,25,25,25,22,22,20,25,3,3,3,25
849,10,3.0,No treatment,B_r,14.583333333333334,14,14,3,3,4,1,14,14,14,13,14,14,14,14,13,13,9,14,1,1,1,14
850,10,3.0,No treatment,UI,8.333333333333332,8,8,0,0,2,1,8,8,8,4,8,8,8,8,4,4,6,8,4,4,4,8
851,10,3.0,No treatment,WT,44.79166666666667,43,43,5,5,15,14,43,43,43,33,43,43,43,43,33,33,31,43,10,10,10,43
852,11,0.0,Combo,UI,97.91666666666666,94,94,20,20,23,33,94,94,94,70,94,94,94,94,70,70,72,94,24,24,24,94
853,11,0.0,Cycling,UI,97.91666666666666,94,94,20,20,23,33,94,94,94,70,94,94,94,94,70,70,72,94,24,24,24,94
854,11,0.0,Mixing,A_r,2.083333333333333,2,2,1,1,0,0,2,2,2,1,2,2,2,2,1,1,2,2,1,1,1,2
855,11,0.0,Mixing,B_r,3.125,3,3,2,2,0,1,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3
856,11,0.0,Mixing,UI,91.66666666666666,88,88,17,17,22,32,88,88,88,65,88,88,88,88,65,65,66,88,23,23,23,88
857,11,0.0,Mixing,WT,1.0416666666666665,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
858,11,0.0,Mono A,A_r,32.29166666666667,31,31,10,10,7,11,31,31,31,28,31,31,31,31,28,28,26,31,3,3,3,31
859,11,0.0,Mono A,UI,65.625,63,63,10,10,16,22,63,63,63,42,63,63,63,63,42,42,46,63,21,21,21,63
860,11,0.0,Mono B,B_r,22.916666666666664,22,22,7,7,4,10,22,22,22,22,22,22,22,22,22,22,19,22,0,0,0,22
861,11,0.0,Mono B,UI,75.0,72,72,13,13,19,23,72,72,72,48,72,72,72,72,48,48,53,72,24,24,24,72
862,11,0.0,No treatment,AB_r,4.166666666666666,4,4,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4
