ID,plate,well,row,col,tip,rep,rwell,transfer_n,turnover_strain,treatment_with,turnover_id,infection_to_well,infection_to_well_id,transfer_from_well_id,transfer_to_well_id,exclude,pheno_str,pheno_num,phenotype,strategy
t0_P1_C19,1,67,C,19,2,0,22,0,B_r,none,t0_S_G13,,,,t1_P1_C19,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_C20,1,68,C,20,2,2,22,0,B_r,none,t0_S_G14,,,,t1_P1_C20,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_D19,1,91,D,19,2,1,22,0,B_r,none,t0_S_H13,,,,t1_P1_D19,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_D20,1,92,D,20,2,3,22,0,B_r,none,t0_S_H14,,,,t1_P1_D20,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_C21,1,69,C,21,2,0,23,0,B_r,none,t0_S_G13,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_C22,1,70,C,22,2,2,23,0,B_r,none,t0_S_G14,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_D21,1,93,D,21,2,1,23,0,B_r,none,t0_S_H13,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_D22,1,94,D,22,2,3,23,0,B_r,none,t0_S_H14,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_C23,1,71,C,23,2,0,24,0,B_r,none,t0_S_G13,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_C24,1,72,C,24,2,2,24,0,B_r,none,t0_S_G14,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_D23,1,95,D,23,2,1,24,0,B_r,none,t0_S_H13,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_D24,1,96,D,24,2,3,24,0,B_r,none,t0_S_H14,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_E1,1,97,E,1,3,0,25,0,A_r,none,t0_S_G9,,,,t1_P1_E1,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_E2,1,98,E,2,3,2,25,0,A_r,none,t0_S_G10,,,,t1_P1_E2,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F1,1,121,F,1,3,1,25,0,A_r,none,t0_S_H9,,,,t1_P1_F1,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F2,1,122,F,2,3,3,25,0,A_r,none,t0_S_H10,,,,t1_P1_F2,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_E3,1,99,E,3,3,0,26,0,A_r,none,t0_S_G9,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_E4,1,100,E,4,3,2,26,0,A_r,none,t0_S_G10,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F3,1,123,F,3,3,1,26,0,A_r,none,t0_S_H9,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F4,1,124,F,4,3,3,26,0,A_r,none,t0_S_H10,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_E5,1,101,E,5,3,0,27,0,A_r,none,t0_S_G9,,,,t1_P1_E5,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_E6,1,102,E,6,3,2,27,0,A_r,none,t0_S_G10,,,,t1_P1_E6,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F5,1,125,F,5,3,1,27,0,A_r,none,t0_S_H9,,,,t1_P1_F5,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F6,1,126,F,6,3,3,27,0,A_r,none,t0_S_H10,,,,t1_P1_F6,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_E7,1,103,E,7,3,0,28,0,A_r,none,t0_S_G9,,,,t1_P1_E7,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_E8,1,104,E,8,3,2,28,0,A_r,none,t0_S_G10,,,,t1_P1_E8,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F7,1,127,F,7,3,1,28,0,A_r,none,t0_S_H9,,,,t1_P1_F7,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F8,1,128,F,8,3,3,28,0,A_r,none,t0_S_H10,,,,t1_P1_F8,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_E9,1,105,E,9,3,0,29,0,A_r,none,t0_S_G9,,,,t1_P1_E9,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_E10,1,106,E,10,3,2,29,0,A_r,none,t0_S_G10,,,,t1_P1_E10,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F9,1,129,F,9,3,1,29,0,A_r,none,t0_S_H9,,,,t1_P1_F9,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F10,1,130,F,10,3,3,29,0,A_r,none,t0_S_H10,,,,t1_P1_F10,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_E11,1,107,E,11,3,0,30,0,A_r,none,t0_S_G9,,,,t1_P1_E11,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_E12,1,108,E,12,3,2,30,0,A_r,none,t0_S_G10,,,,t1_P1_E12,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F11,1,131,F,11,3,1,30,0,A_r,none,t0_S_H9,,,,t1_P1_F11,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F12,1,132,F,12,3,3,30,0,A_r,none,t0_S_H10,,,,t1_P1_F12,,['0' '1' '0' '1'],5,A_r,No treatment
